date,open,high,low,close,volume,oi,iv,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,MACD_diff,RSI,BB_middle,BB_std,BB_upper,BB_lower,BB_width,ROC,volume_sma,volume_ratio,price_change,price_change_pct,high_low_diff,daily_return,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_7,volume_lag_7,next_day_return,next_day_return_pct,signal,target
2024-10-01,25895.6,25898.3,25742.55,25812.55,26129825,821525,11.437324414699097,26001.7,25849.934999999998,25505.4,25007.458,25770.911010323474,25476.048900934427,294.86210938904696,275.3821117603613,19.47999762868568,74.84342078679242,25505.4,423.9283743498807,26353.25674869976,24657.54325130024,1695.7134973995198,1.5956138331138983,1001081530.0,0.02610159534159021,-83.04999999999927,-0.3207108543536326,155.75,-0.03969360410179812,25822.8,37844175.0,26175.0,30558550.0,26184.65,12516408300.0,25951.9,1213601700.0,25820.35,1985304875.0,-763.4500000000007,-2.9576698156516916,SELL,0.0
2024-10-04,25267.0,25478.95,24972.0,25049.1,64488175,38100,12.996257845449732,25808.82,25820.5,25497.5375,25018.912,25659.8631625814,25444.423056420765,215.4401061606368,263.3937106404164,-47.953604479779585,43.76714416336479,25497.5375,431.1632048048823,26359.86390960976,24635.211090390236,1724.6528192195256,-1.161444081212314,1002238413.75,0.06434414617846212,-217.90000000000146,-0.8623896782364406,506.9500000000007,-2.9576698156516867,25812.55,26129825.0,25822.8,37844175.0,26175.0,30558550.0,26013.5,1974203625.0,25930.15,1136604400.0,-230.09999999999854,-0.9185958776961989,SELL,0.0
2024-10-07,25117.45,25138.75,24700.7,24819.0,52349650,4063075,14.080542481421093,25535.69,25757.9,25481.2475,25026.453999999998,25530.499599107337,25398.09542261182,132.4041764955182,237.19580381143675,-104.79162731591856,38.763575605680906,25481.2475,450.89470047280344,26383.036900945608,24579.458099054395,1803.5788018912135,-2.4602082923953628,1003468307.5,0.05216871286191567,-298.4500000000007,-1.1882177529964257,438.0499999999993,-0.9185958776962044,25049.1,64488175.0,25812.55,26129825.0,25822.8,37844175.0,26184.65,12516408300.0,25951.9,1213601700.0,220.5,0.8884322494862807,BUY,2.0
2024-10-08,24778.45,25039.75,24768.25,25039.5,36757000,41425,14.014461256849314,25308.59,25679.815,25489.7975,25038.944,25454.96119924467,25371.53279871465,83.42840053002146,206.4423231551537,-123.01392262513224,43.302261007536686,25489.7975,440.15750125887786,26370.112502517757,24609.482497482244,1760.630005035513,-3.024165048111271,1001870347.5,0.036688379980224936,261.0499999999993,1.0535364399306626,271.5,0.8884322494862706,24819.0,52349650.0,25049.1,64488175.0,25812.55,26129825.0,26175.0,30558550.0,26013.5,1974203625.0,-31.950000000000728,-0.12759839453663505,HOLD,1.0
2024-10-10,25055.2,25132.1,24980.8,25007.55,33200900,98575,12.346901291601071,25145.54,25587.555,25493.0625,25042.06,25386.12870705318,25344.571109920973,41.557597132206865,173.46537795056435,-131.90778081835748,42.08085612366227,25493.0625,436.10567734116455,26365.273854682328,24620.851145317672,1744.422709364655,-3.558020296835931,1001698170.0,0.033144614809469,-47.650000000001455,-0.19018008237811493,151.29999999999927,-0.12759839453663213,25039.5,36757000.0,24819.0,52349650.0,25049.1,64488175.0,25822.8,37844175.0,26184.65,12516408300.0,134.75,0.5388372711441145,BUY,2.0
2024-10-14,25039.7,25157.0,25025.4,25142.3,28869800,1466500,11.641314585015136,25011.489999999998,25506.595,25497.5725,25048.087000000003,25348.616598275767,25329.58806474164,19.028533534125017,142.57800906727647,-123.54947553315145,46.12285807906553,25497.5725,431.7500908100182,26361.072681620033,24634.072318379964,1727.0003632400694,-3.1196174461214867,1000742398.75,0.02884838299652386,102.59999999999854,0.40974931808287857,131.59999999999854,0.5388372711441214,25007.55,33200900.0,25039.5,36757000.0,24819.0,52349650.0,25812.55,26129825.0,26175.0,30558550.0,-77.14999999999782,-0.3068533905012581,HOLD,1.0
2024-10-15,25194.6,25198.5,25012.6,25065.15,32889975,73950,11.650475489204402,25014.7,25411.760000000002,25503.239999999998,25052.572,25305.006352387187,25310.000059945967,-4.993707558780443,113.06366574206508,-118.05737330084553,42.608915611075474,25503.239999999998,424.8983694583991,26353.036738916795,24653.4432610832,1699.593477833594,-3.6456070886270537,997069847.5,0.032986630858877715,-129.4499999999971,-0.5138005763139606,185.90000000000146,-0.3068533905012605,25142.3,28869800.0,25007.55,33200900.0,25039.5,36757000.0,25049.1,64488175.0,25822.8,37844175.0,-105.25,-0.4199057256788808,HOLD,1.0
2024-10-16,25013.35,25093.05,24911.2,24959.9,44953450,177925,11.759390076000637,25042.88,25289.284999999996,25485.4875,25052.183999999997,25251.91306740454,25284.06672217219,-32.15365476764782,84.02020164012251,-116.17385640777033,31.290904742232257,25485.4875,440.31663663028473,26366.12077326057,24604.85422673943,1761.2665465211394,-4.677358681517607,994537405.0,0.04520036126745781,-53.44999999999709,-0.2136858917338025,181.84999999999854,-0.41990572567888185,25065.15,32889975.0,25142.3,28869800.0,25007.55,33200900.0,24819.0,52349650.0,25812.55,26129825.0,-209.70000000000073,-0.8401475967451822,SELL,0.0
2024-10-17,25001.25,25001.25,24731.35,24750.2,57869200,66500,11.885567323059448,24985.02,25146.805,25455.82,25047.068000000003,25174.726441649997,25244.521039048323,-69.794597398326,53.25724183243281,-123.05183923075882,25.412073600200046,25455.82,469.41140703291063,26394.64281406582,24516.99718593418,1877.6456281316423,-5.443361986628459,994634661.25,0.05818136271992904,-251.04999999999927,-1.0041497925103715,269.90000000000146,-0.8401475967451777,24959.9,44953450.0,25065.15,32889975.0,25142.3,28869800.0,25039.5,36757000.0,25049.1,64488175.0,112.45000000000073,0.4543397629110097,HOLD,1.0
2024-10-18,24666.8,24881.7,24573.0,24862.65,84438900,1347750,11.8571289386393,24956.04,25050.79,25430.0925,25050.332000000002,25126.71468139615,25216.234295415114,-89.51961401896187,24.701870662153873,-114.22148468111575,28.128827580667846,25430.0925,487.6919741510016,26405.476448302,24454.708551697997,1950.767896604004,-3.718225753984842,995983313.75,0.08477943238032486,195.85000000000218,0.7939821946908484,308.7000000000007,0.45433976291100464,24750.2,57869200.0,24959.9,44953450.0,25065.15,32889975.0,25007.55,33200900.0,24819.0,52349650.0,-426.65000000000146,-1.7160278570466199,SELL,0.0
